"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"29.10.2024","130.730","131.214","131.765","130.693","7,64M","-0,37%"
"28.10.2024","131.213","129.894","131.421","129.894","7,14M","1,02%"
"25.10.2024","129.893","130.067","130.529","129.806","8,51M","-0,13%"
"24.10.2024","130.067","129.233","130.130","128.798","8,31M","0,65%"
"23.10.2024","129.233","129.949","129.949","128.589","7,96M","-0,55%"
"22.10.2024","129.951","130.346","130.346","129.094","8,22M","-0,31%"
"21.10.2024","130.362","130.499","131.124","130.157","7,77M","-0,11%"
"18.10.2024","130.499","130.793","131.725","130.121","8,68M","-0,22%"
"17.10.2024","130.793","131.716","131.716","129.902","7,09M","-0,73%"
"16.10.2024","131.750","131.045","132.233","130.780","10,28M","0,54%"
"15.10.2024","131.043","131.005","131.457","130.200","7,98M","0,03%"
